,Record ID,Step Name,Relative Time(h:min:s.ms),Realtime,Auxiliary channel TU1 T(°C),Gap of Temperature
128,196734,CCCV_DChg,0:06:18.000,2020-10-13 02:41:40.000000,28.4,0
129,196735,CCCV_DChg,0:06:19.000,2020-10-13 02:41:41.000000,28.4,0
130,196736,CCCV_DChg,0:06:20.000,2020-10-13 02:41:42.000000,28.4,0
131,196737,CCCV_DChg,0:06:21.000,2020-10-13 02:41:43.000000,28.4,0
132,196738,CCCV_DChg,0:06:22.000,2020-10-13 02:41:44.000000,28.4,0
133,196739,CCCV_DChg,0:06:23.000,2020-10-13 02:41:45.000000,28.4,0
134,196740,CCCV_DChg,0:06:24.000,2020-10-13 02:41:45.999999,28.4,0
135,196741,CCCV_DChg,0:06:25.000,2020-10-13 02:41:47.000000,28.4,0
136,196742,CCCV_DChg,0:06:26.000,2020-10-13 02:41:48.000000,28.4,0
137,196743,CCCV_DChg,0:06:27.000,2020-10-13 02:41:49.000000,28.4,0
138,196744,CCCV_DChg,0:06:28.000,2020-10-13 02:41:50.000000,28.4,0
139,196745,CCCV_DChg,0:06:29.000,2020-10-13 02:41:51.000000,28.4,0
140,196746,CCCV_DChg,0:06:30.000,2020-10-13 02:41:52.000000,28.4,0
141,196747,CCCV_DChg,0:06:31.000,2020-10-13 02:41:53.000001,28.4,0
142,196748,CCCV_DChg,0:06:32.000,2020-10-13 02:41:54.000000,28.4,0
143,196749,CCCV_DChg,0:06:33.000,2020-10-13 02:41:55.000000,28.4,0
144,196750,CCCV_DChg,0:06:34.000,2020-10-13 02:41:56.000000,28.4,0
145,196751,CCCV_DChg,0:06:35.000,2020-10-13 02:41:57.000000,28.4,0
146,196752,CCCV_DChg,0:06:36.000,2020-10-13 02:41:58.000000,28.4,0
147,196753,CCCV_DChg,0:06:37.000,2020-10-13 02:41:59.000000,28.4,0
148,196754,CCCV_DChg,0:06:38.000,2020-10-13 02:42:00.000000,28.4,0
149,196755,CCCV_DChg,0:06:39.000,2020-10-13 02:42:01.000000,28.4,0
150,196756,CCCV_DChg,0:06:40.000,2020-10-13 02:42:02.000000,28.4,0
151,196757,CCCV_DChg,0:06:41.000,2020-10-13 02:42:03.000000,28.4,0
152,196758,CCCV_DChg,0:06:42.000,2020-10-13 02:42:04.000000,28.4,0
153,196759,CCCV_DChg,0:06:43.000,2020-10-13 02:42:05.000000,28.4,0
154,196760,CCCV_DChg,0:06:44.000,2020-10-13 02:42:06.000000,28.4,0
155,196761,CCCV_DChg,0:06:45.000,2020-10-13 02:42:07.000000,28.4,0
156,196762,CCCV_DChg,0:06:46.000,2020-10-13 02:42:08.000000,28.4,0
157,196763,CCCV_DChg,0:06:47.000,2020-10-13 02:42:09.000000,28.4,0
158,196764,CCCV_DChg,0:06:48.000,2020-10-13 02:42:10.000000,28.4,0
159,196765,CCCV_DChg,0:06:49.000,2020-10-13 02:42:11.000000,28.4,0
160,196766,CCCV_DChg,0:06:50.000,2020-10-13 02:42:12.000000,28.4,0
161,196767,CCCV_DChg,0:06:51.000,2020-10-13 02:42:13.000000,28.4,0
162,196768,CCCV_DChg,0:06:52.000,2020-10-13 02:42:14.000000,28.4,0
163,196769,CCCV_DChg,0:06:53.000,2020-10-13 02:42:15.000000,28.4,0
164,196770,CCCV_DChg,0:06:54.000,2020-10-13 02:42:16.000000,28.4,0
165,196771,CCCV_DChg,0:06:55.000,2020-10-13 02:42:17.000000,28.3,0
166,196772,CCCV_DChg,0:06:56.000,2020-10-13 02:42:18.000000,28.4,0
167,196773,CCCV_DChg,0:06:57.000,2020-10-13 02:42:19.000000,28.3,0
168,196774,CCCV_DChg,0:06:58.000,2020-10-13 02:42:20.000000,28.3,0
169,196775,CCCV_DChg,0:06:59.000,2020-10-13 02:42:21.000000,28.3,0
170,196776,CCCV_DChg,0:07:00.000,2020-10-13 02:42:22.000000,28.3,0
171,196777,CCCV_DChg,0:07:01.000,2020-10-13 02:42:23.000000,28.3,0
172,196778,CCCV_DChg,0:07:02.000,2020-10-13 02:42:24.000000,28.3,0
173,196779,CCCV_DChg,0:07:03.000,2020-10-13 02:42:25.000000,28.3,0
174,196780,CCCV_DChg,0:07:04.000,2020-10-13 02:42:26.000000,28.3,0
175,196781,CCCV_DChg,0:07:05.000,2020-10-13 02:42:27.000000,28.3,0
